cell	celltype	TREATMENT
Immunodeficiency7828008	SM B-cells	CONTROL
Immunodeficiency7828009	SM B-cells	CVID
Immunodeficiency7828010	SM B-cells	CONTROL
Immunodeficiency7828011	USM B-cells	CONTROL
Immunodeficiency7828012	SM B-cells	CONTROL
Immunodeficiency7828013	USM B-cells	CONTROL
Immunodeficiency7828014	SM B-cells	CONTROL
Immunodeficiency7828015	USM B-cells	CONTROL
Immunodeficiency7828016	SM B-cells	CONTROL
Immunodeficiency7828017	USM B-cells	CONTROL
Immunodeficiency7828018	SM B-cells	CONTROL
Immunodeficiency7828019	USM B-cells	CONTROL
Immunodeficiency7828020	SM B-cells	CONTROL
Immunodeficiency7828021	USM B-cells	CONTROL
Immunodeficiency7828022	SM B-cells	CONTROL
Immunodeficiency7828023	USM B-cells	CONTROL
Immunodeficiency7828024	SM B-cells	CONTROL
Immunodeficiency7828025	SM B-cells	CVID
Immunodeficiency7828026	SM B-cells	CONTROL
Immunodeficiency7828027	SM B-cells	CVID
Immunodeficiency7828028	SM B-cells	CONTROL
Immunodeficiency7828029	SM B-cells	CVID
Immunodeficiency7828030	SM B-cells	CONTROL
Immunodeficiency7828031	SM B-cells	CVID
Immunodeficiency7828032	SM B-cells	CONTROL
Immunodeficiency7828033	SM B-cells	CVID
Immunodeficiency7828034	SM B-cells	CONTROL
Immunodeficiency7828035	SM B-cells	CVID
Immunodeficiency7828036	SM B-cells	CONTROL
Immunodeficiency7828037	SM B-cells	CVID
Immunodeficiency7828038	SM B-cells	CONTROL
Immunodeficiency7828039	SM B-cells	CVID
Immunodeficiency7828040	SM B-cells	CONTROL
Immunodeficiency7828041	SM B-cells	CVID
Immunodeficiency7828042	Naive B-cells	CVID
Immunodeficiency7828043	USM B-cells	CVID
Immunodeficiency7828044	Naive B-cells	CVID
Immunodeficiency7828045	USM B-cells	CVID
Immunodeficiency7828046	Naive B-cells	CVID
Immunodeficiency7828047	USM B-cells	CVID
Immunodeficiency7828048	Naive B-cells	CVID
Immunodeficiency7828049	USM B-cells	CVID
Immunodeficiency7828050	Naive B-cells	CVID
Immunodeficiency7828051	USM B-cells	CVID
Immunodeficiency7828052	Naive B-cells	CVID
Immunodeficiency7828053	USM B-cells	CVID
Immunodeficiency7828054	Naive B-cells	CVID
Immunodeficiency7828055	USM B-cells	CVID
Immunodeficiency7828056	Naive B-cells	CVID
Immunodeficiency7828057	USM B-cells	CVID
Immunodeficiency7828058	SM B-cells	CVID
Immunodeficiency7828059	USM B-cells	CONTROL
Immunodeficiency7828060	SM B-cells	CVID
Immunodeficiency7828061	USM B-cells	CONTROL
Immunodeficiency7828062	SM B-cells	CVID
Immunodeficiency7828063	USM B-cells	CONTROL
Immunodeficiency7828064	SM B-cells	CVID
Immunodeficiency7828065	USM B-cells	CONTROL
Immunodeficiency7828066	SM B-cells	CVID
Immunodeficiency7828067	USM B-cells	CONTROL
Immunodeficiency7828068	SM B-cells	CVID
Immunodeficiency7828069	USM B-cells	CONTROL
Immunodeficiency7828070	SM B-cells	CVID
Immunodeficiency7828071	USM B-cells	CONTROL
Immunodeficiency7828072	SM B-cells	CVID
Immunodeficiency7828073	USM B-cells	CONTROL
Immunodeficiency7828074	Naive B-cells	CVID
Immunodeficiency7828075	USM B-cells	CVID
Immunodeficiency7828076	Naive B-cells	CVID
Immunodeficiency7828077	USM B-cells	CVID
Immunodeficiency7828078	Naive B-cells	CVID
Immunodeficiency7828079	USM B-cells	CVID
Immunodeficiency7828080	Naive B-cells	CVID
Immunodeficiency7828081	USM B-cells	CVID
Immunodeficiency7828082	Naive B-cells	CVID
Immunodeficiency7828083	USM B-cells	CVID
Immunodeficiency7828084	Naive B-cells	CVID
Immunodeficiency7828085	USM B-cells	CVID
Immunodeficiency7828086	Naive B-cells	CVID
Immunodeficiency7828087	USM B-cells	CVID
Immunodeficiency7828088	Naive B-cells	CVID
Immunodeficiency7828089	USM B-cells	CVID
Immunodeficiency7828090	SM B-cells	CVID
Immunodeficiency7828091	USM B-cells	CONTROL
Immunodeficiency7828092	SM B-cells	CVID
Immunodeficiency7828093	USM B-cells	CONTROL
Immunodeficiency7828094	SM B-cells	CVID
Immunodeficiency7828095	USM B-cells	CONTROL
Immunodeficiency7828096	SM B-cells	CVID
Immunodeficiency7828097	USM B-cells	CONTROL
Immunodeficiency7828098	SM B-cells	CVID
Immunodeficiency7828099	USM B-cells	CONTROL
Immunodeficiency7828100	SM B-cells	CVID
Immunodeficiency7828101	USM B-cells	CONTROL
Immunodeficiency7828102	SM B-cells	CVID
Immunodeficiency7828103	USM B-cells	CONTROL
Immunodeficiency7828104	SM B-cells	CVID
Immunodeficiency7828105	USM B-cells	CONTROL
Immunodeficiency7828106	Naive B-cells	CVID
Immunodeficiency7828107	USM B-cells	CVID
Immunodeficiency7828108	Naive B-cells	CVID
Immunodeficiency7828109	USM B-cells	CVID
Immunodeficiency7828110	Naive B-cells	CVID
Immunodeficiency7828111	USM B-cells	CVID
Immunodeficiency7828112	Naive B-cells	CVID
Immunodeficiency7828113	USM B-cells	CVID
Immunodeficiency7828114	Naive B-cells	CVID
Immunodeficiency7828115	USM B-cells	CVID
Immunodeficiency7828116	Naive B-cells	CVID
Immunodeficiency7828117	USM B-cells	CVID
Immunodeficiency7828118	Naive B-cells	CVID
Immunodeficiency7828119	USM B-cells	CVID
Immunodeficiency7828120	Naive B-cells	CVID
Immunodeficiency7828121	USM B-cells	CVID
Immunodeficiency7828122	SM B-cells	CVID
Immunodeficiency7828123	USM B-cells	CONTROL
Immunodeficiency7828124	SM B-cells	CVID
Immunodeficiency7828125	USM B-cells	CONTROL
Immunodeficiency7828126	SM B-cells	CVID
Immunodeficiency7828127	USM B-cells	CONTROL
Immunodeficiency7828128	SM B-cells	CVID
Immunodeficiency7828129	USM B-cells	CONTROL
Immunodeficiency7828130	SM B-cells	CVID
Immunodeficiency7828131	USM B-cells	CONTROL
Immunodeficiency7828132	SM B-cells	CVID
Immunodeficiency7828133	USM B-cells	CONTROL
Immunodeficiency7828134	SM B-cells	CVID
Immunodeficiency7828135	USM B-cells	CONTROL
Immunodeficiency7828136	SM B-cells	CVID
Immunodeficiency7828137	USM B-cells	CONTROL
Immunodeficiency7828138	Naive B-cells	CVID
Immunodeficiency7828139	USM B-cells	CVID
Immunodeficiency7828140	Naive B-cells	CVID
Immunodeficiency7828141	USM B-cells	CVID
Immunodeficiency7828142	Naive B-cells	CVID
Immunodeficiency7828143	USM B-cells	CVID
Immunodeficiency7828144	Naive B-cells	CVID
Immunodeficiency7828145	USM B-cells	CVID
Immunodeficiency7828146	Naive B-cells	CVID
Immunodeficiency7828147	USM B-cells	CVID
Immunodeficiency7828148	Naive B-cells	CVID
Immunodeficiency7828149	USM B-cells	CVID
Immunodeficiency7828150	Naive B-cells	CVID
Immunodeficiency7828151	USM B-cells	CVID
Immunodeficiency7828152	Naive B-cells	CVID
Immunodeficiency7828153	USM B-cells	CVID
Immunodeficiency7828154	SM B-cells	CVID
Immunodeficiency7828155	USM B-cells	CONTROL
Immunodeficiency7828156	SM B-cells	CVID
Immunodeficiency7828157	USM B-cells	CONTROL
Immunodeficiency7828158	SM B-cells	CVID
Immunodeficiency7828159	USM B-cells	CONTROL
Immunodeficiency7828160	SM B-cells	CVID
Immunodeficiency7828161	USM B-cells	CONTROL
Immunodeficiency7828162	SM B-cells	CVID
Immunodeficiency7828163	USM B-cells	CONTROL
Immunodeficiency7828164	SM B-cells	CVID
Immunodeficiency7828165	USM B-cells	CONTROL
Immunodeficiency7828166	SM B-cells	CVID
Immunodeficiency7828167	USM B-cells	CONTROL
Immunodeficiency7828168	SM B-cells	CVID
Immunodeficiency7828169	USM B-cells	CONTROL
Immunodeficiency7828170	Naive B-cells	CVID
Immunodeficiency7828171	USM B-cells	CVID
Immunodeficiency7828172	Naive B-cells	CVID
Immunodeficiency7828173	USM B-cells	CVID
Immunodeficiency7828174	Naive B-cells	CVID
Immunodeficiency7828175	USM B-cells	CVID
Immunodeficiency7828176	Naive B-cells	CVID
Immunodeficiency7828177	USM B-cells	CVID
Immunodeficiency7828178	Naive B-cells	CVID
