cell	celltype	TREATMENT
Immunodeficiency7828813	Naive B-cells	CONTROL
Immunodeficiency7828814	Naive B-cells	CONTROL
Immunodeficiency7828815	Naive B-cells	CONTROL
Immunodeficiency7828816	Naive B-cells	CONTROL
Immunodeficiency7828817	Naive B-cells	CONTROL
Immunodeficiency7828818	Naive B-cells	CONTROL
Immunodeficiency7828819	Naive B-cells	CONTROL
Immunodeficiency7828820	Naive B-cells	CONTROL
Immunodeficiency7828821	Naive B-cells	CONTROL
Immunodeficiency7828822	Naive B-cells	CONTROL
Immunodeficiency7828823	Naive B-cells	CONTROL
Immunodeficiency7828824	Naive B-cells	CONTROL
Immunodeficiency7828825	Naive B-cells	CONTROL
Immunodeficiency7828826	Naive B-cells	CONTROL
Immunodeficiency7828827	Naive B-cells	CONTROL
Immunodeficiency7828828	Naive B-cells	CONTROL
Immunodeficiency7828829	Naive B-cells	CONTROL
Immunodeficiency7828830	Naive B-cells	CONTROL
Immunodeficiency7828831	Naive B-cells	CONTROL
Immunodeficiency7828832	Naive B-cells	CONTROL
Immunodeficiency7828833	Naive B-cells	CONTROL
Immunodeficiency7828834	Naive B-cells	CONTROL
Immunodeficiency7828835	Naive B-cells	CONTROL
Immunodeficiency7828836	Naive B-cells	CONTROL
Immunodeficiency7828837	Naive B-cells	CONTROL
Immunodeficiency7828838	Naive B-cells	CONTROL
Immunodeficiency7828839	Naive B-cells	CONTROL
Immunodeficiency7828840	Naive B-cells	CONTROL
Immunodeficiency7828841	Naive B-cells	CONTROL
Immunodeficiency7828842	Naive B-cells	CONTROL
Immunodeficiency7828843	Naive B-cells	CONTROL
Immunodeficiency7828844	Naive B-cells	CONTROL
Immunodeficiency7828845	Naive B-cells	CONTROL
Immunodeficiency7828846	Naive B-cells	CONTROL
Immunodeficiency7828847	Naive B-cells	CONTROL
Immunodeficiency7828848	Naive B-cells	CONTROL
Immunodeficiency7828849	Naive B-cells	CONTROL
Immunodeficiency7828850	Naive B-cells	CONTROL
Immunodeficiency7828851	Naive B-cells	CONTROL
Immunodeficiency7828852	Naive B-cells	CONTROL
Immunodeficiency7828853	Naive B-cells	CONTROL
Immunodeficiency7828854	Naive B-cells	CONTROL
Immunodeficiency7828855	Naive B-cells	CONTROL
Immunodeficiency7828856	Naive B-cells	CONTROL
Immunodeficiency7828857	Naive B-cells	CONTROL
Immunodeficiency7828858	Naive B-cells	CONTROL
Immunodeficiency7828859	Naive B-cells	CONTROL
Immunodeficiency7828860	Naive B-cells	CONTROL
Immunodeficiency7828861	Naive B-cells	CONTROL
Immunodeficiency7828862	Naive B-cells	CONTROL
Immunodeficiency7828863	Naive B-cells	CONTROL
Immunodeficiency7828864	Naive B-cells	CONTROL
Immunodeficiency7828865	Naive B-cells	CONTROL
Immunodeficiency7828866	Naive B-cells	CONTROL
Immunodeficiency7828867	Naive B-cells	CONTROL
Immunodeficiency7828868	Naive B-cells	CONTROL
Immunodeficiency7828869	Naive B-cells	CONTROL
Immunodeficiency7828870	Naive B-cells	CONTROL
Immunodeficiency7828871	Naive B-cells	CONTROL
Immunodeficiency7828872	Naive B-cells	CONTROL
Immunodeficiency7828873	Naive B-cells	CONTROL
Immunodeficiency7828874	Naive B-cells	CONTROL
Immunodeficiency7828875	Naive B-cells	CONTROL
Immunodeficiency7828876	Naive B-cells	CONTROL
Immunodeficiency7828877	Naive B-cells	CONTROL
Immunodeficiency7828878	Naive B-cells	CONTROL
Immunodeficiency7828879	Naive B-cells	CONTROL
Immunodeficiency7828880	Naive B-cells	CONTROL
Immunodeficiency7828881	Naive B-cells	CONTROL
Immunodeficiency7828882	Naive B-cells	CONTROL
Immunodeficiency7828883	Naive B-cells	CONTROL
Immunodeficiency7828884	Naive B-cells	CONTROL
Immunodeficiency7828885	Naive B-cells	CONTROL
Immunodeficiency7828886	Naive B-cells	CONTROL
Immunodeficiency7828887	Naive B-cells	CONTROL
Immunodeficiency7828888	Naive B-cells	CONTROL
Immunodeficiency7828889	Naive B-cells	CONTROL
Immunodeficiency7828890	Naive B-cells	CONTROL
Immunodeficiency7828891	Naive B-cells	CONTROL
Immunodeficiency7828892	Naive B-cells	CONTROL
Immunodeficiency7828893	Naive B-cells	CONTROL
Immunodeficiency7828894	Naive B-cells	CONTROL
Immunodeficiency7828895	Naive B-cells	CONTROL
Immunodeficiency7828896	Naive B-cells	CONTROL
Immunodeficiency7828897	Naive B-cells	CONTROL
Immunodeficiency7828898	Naive B-cells	CONTROL
Immunodeficiency7828899	Naive B-cells	CONTROL
Immunodeficiency7828900	Naive B-cells	CONTROL
Immunodeficiency7828901	Naive B-cells	CONTROL
Immunodeficiency7828902	Naive B-cells	CONTROL
Immunodeficiency7828903	Naive B-cells	CONTROL
Immunodeficiency7828904	Naive B-cells	CONTROL
Immunodeficiency7828905	Naive B-cells	CONTROL
