,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
570,Immunodeficiency7828228,30535.0,0.819865,0.242515,95.3,261024,0.8619030000000001,0.040233,31843,,SM B-cells,CVID
571,Immunodeficiency7828229,8130.0,0.753418,0.085279,95.31,55133,0.805978,0.124771,9354,,USM B-cells,CONTROL
572,Immunodeficiency7828230,43433.0,0.759864,0.297389,95.18,379169,0.8686459999999999,0.007109999999999999,43771,,SM B-cells,CVID
573,Immunodeficiency7828231,8972.0,0.766421,0.093612,95.57,67330,0.815938,0.164073,10789,,USM B-cells,CONTROL
574,Immunodeficiency7828232,49897.0,0.7655489999999999,0.30606,95.26,452837,0.872669,0.020398,50960,,SM B-cells,CVID
575,Immunodeficiency7828233,30945.0,0.788493,0.24042399999999997,95.12,290307,0.8761629999999999,0.019828,31583,,USM B-cells,CONTROL
576,Immunodeficiency7828234,35674.0,0.793617,0.257123,96.15,290115,0.8589479999999999,0.013331,36192,,Naive B-cells,CVID
577,Immunodeficiency7828235,3386.0,0.813448,0.041907,94.62,4328,0.068248,0.031187,32000,,USM B-cells,CVID
578,Immunodeficiency7828236,27649.0,0.767803,0.197938,95.74,216152,0.850342,0.019469,28240,,Naive B-cells,CVID
579,Immunodeficiency7828237,4210.0,0.625202,0.040411,94.94,5335,0.062215999999999994,0.030177,40609,,USM B-cells,CVID
580,Immunodeficiency7828238,29493.0,0.798259,0.22721599999999997,95.99,231935,0.8539120000000001,0.025476,30302,,Naive B-cells,CVID
581,Immunodeficiency7828239,41699.0,0.717453,0.272985,95.74,421377,0.8779319999999999,0.08454400000000001,45566,,USM B-cells,CVID
582,Immunodeficiency7828240,36692.0,0.774183,0.258973,96.08,282339,0.852017,0.004666,36915,,Naive B-cells,CVID
583,Immunodeficiency7828241,38568.0,0.73665,0.2647,95.68,357912,0.876857,0.010823000000000001,39004,,USM B-cells,CVID
584,Immunodeficiency7828242,33190.0,0.768181,0.24036,96.06,270433,0.86169,0.007534999999999999,33471,,Naive B-cells,CVID
585,Immunodeficiency7828243,25879.0,0.775972,0.201959,96.07,224686,0.865265,0.036702,26884,,USM B-cells,CVID
586,Immunodeficiency7828244,35168.0,0.796607,0.25286,95.61,306088,0.8688870000000001,0.007983,35472,,Naive B-cells,CVID
587,Immunodeficiency7828245,27300.0,0.7801859999999999,0.22346799999999997,96.03,251987,0.8753559999999999,0.010726000000000001,27607,,USM B-cells,CVID
588,Immunodeficiency7828246,33690.0,0.7756109999999999,0.238236,95.92,279648,0.862669,0.011937,34125,,Naive B-cells,CVID
589,Immunodeficiency7828247,21788.0,0.8040010000000001,0.18769,96.0,173856,0.8582110000000001,0.012733,22092,,USM B-cells,CVID
590,Immunodeficiency7828248,41214.0,0.743056,0.270507,95.75,360219,0.868812,0.014868000000000001,41861,,Naive B-cells,CVID
591,Immunodeficiency7828249,10060.0,0.793679,0.10308699999999998,95.88,101544,0.8446040000000001,0.249198,13424,,USM B-cells,CVID
592,Immunodeficiency7828250,45880.0,0.7257600000000001,0.28770500000000004,95.55,406586,0.8670709999999999,0.006346,46203,,SM B-cells,CVID
593,Immunodeficiency7828251,22987.0,0.7932939999999999,0.188269,95.45,207927,0.8721059999999999,0.01563,23363,,USM B-cells,CONTROL
594,Immunodeficiency7828252,29873.0,0.811554,0.23077199999999998,95.4,232830,0.851564,0.008727,30178,,SM B-cells,CVID
595,Immunodeficiency7828253,8594.0,0.778574,0.090909,95.38,62656,0.821103,0.094701,9534,,USM B-cells,CONTROL
596,Immunodeficiency7828254,18045.0,0.809929,0.166535,95.34,129172,0.8387100000000001,0.012856,18323,,SM B-cells,CVID
597,Immunodeficiency7828255,31712.0,0.76932,0.23337800000000003,95.06,270321,0.866434,0.003363,31840,,USM B-cells,CONTROL
598,Immunodeficiency7828256,50709.0,0.74063,0.313364,95.26,411185,0.855093,0.032345,52466,,SM B-cells,CVID
599,Immunodeficiency7828257,34052.0,0.797207,0.249658,95.44,298906,0.8674879999999999,0.011524,34470,,USM B-cells,CONTROL
600,Immunodeficiency7828258,12914.0,0.811365,0.129519,95.58,105522,0.835808,0.153125,15289,,SM B-cells,CVID
601,Immunodeficiency7828259,6089.0,0.807327,0.07162,96.22,36052,0.803355,0.036398,6364,,USM B-cells,CONTROL
602,Immunodeficiency7828260,48472.0,0.712214,0.305899,95.03,449356,0.871157,0.009016,48938,,SM B-cells,CVID
603,Immunodeficiency7828261,10797.0,0.769935,0.113705,95.87,85159,0.849459,0.044429,11316,,USM B-cells,CONTROL
604,Immunodeficiency7828262,49863.0,0.762228,0.31719200000000003,95.05,434363,0.867309,0.004909,50141,,SM B-cells,CVID
605,Immunodeficiency7828263,7824.0,0.788587,0.087595,95.98,51493,0.823515,0.037757,8163,,USM B-cells,CONTROL
606,Immunodeficiency7828264,35840.0,0.716087,0.24307800000000002,94.93,316920,0.8644379999999999,0.035185,37175,,SM B-cells,CVID
