"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"Topic10"	"Topic11"	"Topic12"	"Topic13"	"Topic14"	"Topic15"	"Topic16"	"Topic17"	"Topic18"	"celltype"	"TREATMENT"
"Immunodeficiency7827690"	0.0288272143110853	0.125601407859472	0.0476444186121606	0.0270835351480513	0.0410329684523233	0.033840291904808	0.0596322128580193	0.133956537182344	0.0866592398850463	0.0105185830992283	0.0692224482547063	0.0727098065807743	0.0526574962058833	0.0574526139042268	0.011753689173044	0.0346394781878653	0.0763424715037618	0.0304255868771998	"SM B-cells"	"CONTROL"
"Immunodeficiency7827691"	0.031422073648336	0.0881342899406356	0.05294573794955	0.0481952834307535	0.0598075055878117	0.046494503417851	0.0267889143028431	0.09540659068546	0.073882926384246	0.0701294808385302	0.0171120625052946	0.00954652382721118	0.0693670622120566	0.0642060745866974	0.0640887794133938	0.0472569220443245	0.075114525703934	0.0601007435210708	"USM B-cells"	"CONTROL"
"Immunodeficiency7827692"	0.0346846144131696	0.111036824080884	0.0516666295231516	0.0351526227036022	0.0490591547621701	0.0507306129422864	0.034617756085965	0.113310007205842	0.0711224027397057	0.0308736897625044	0.0448470801482769	0.0659074532177427	0.0538060959937005	0.0454488050931188	0.0338154561595091	0.0558787041370447	0.0762036356072593	0.0418384554240675	"SM B-cells"	"CONTROL"
"Immunodeficiency7827693"	0.0421999185739826	0.118589913794629	0.0390136831111819	0.0359867594215212	0.0280211707645195	0.021091108632928	0.0605207724850867	0.124962384720231	0.0868868709397625	0.025711150053989	0.071115005398899	0.0507230984369745	0.0634680402881773	0.048572389499584	0.0173472819641371	0.0383764360186218	0.0853734090949321	0.0420406068008426	"USM B-cells"	"CONTROL"
"Immunodeficiency7827694"	0.0321387264920703	0.114913573205317	0.0411933393538983	0.0400526007256365	0.0462553670168101	0.0398387122328374	0.0252942947224995	0.118121900597303	0.0840423340779822	0.0304989147139439	0.0474674018093382	0.0573775686423626	0.0640081119191343	0.0613701538412789	0.0334933536131312	0.0420488933250947	0.0819034491499913	0.0399813045613702	"SM B-cells"	"CONTROL"
"Immunodeficiency7827695"	0.0327052677262715	0.112961734672988	0.0523087757224392	0.0343266104928718	0.04751844482112	0.0336633339065353	0.0493608797831659	0.114877867033516	0.0853252102423007	0.0156074712784861	0.0595311207736589	0.0652795178552419	0.0624053193144504	0.0534879340981486	0.0167129322557136	0.0537827236920759	0.080313787145536	0.02983106918548	"USM B-cells"	"CONTROL"
"Immunodeficiency7827696"	0.0362940390873352	0.145994394597747	0.0415420499219382	0.0357861670710833	0.0328235803096138	0.0231740120008276	0.0612644132197205	0.13973063973064	0.0889434381054493	0.0186878091906025	0.0664277787182815	0.0504298102063465	0.0620262212440983	0.0535616876398999	0.00429810206346519	0.0277448601470948	0.0803096138291669	0.0309613829166902	"SM B-cells"	"CONTROL"
"Immunodeficiency7827697"	0.0335599215231148	0.0902622343806129	0.0441294315952361	0.0517146094116997	0.0619732515405234	0.0517767830003592	0.0280886457210755	0.102137389814585	0.072231893669347	0.0698692973002846	0.0133535052087651	0.0127317693221697	0.0607297797673326	0.0634032440796927	0.0570615380364199	0.053828511426124	0.0816822791455967	0.0514659150570615	"USM B-cells"	"CONTROL"
"Immunodeficiency7827698"	0.0322095941431289	0.111406831950639	0.0406256493869787	0.0417765629245992	0.0435748653271312	0.0357342668520916	0.0477469269010055	0.1260809795553	0.0854393452580764	0.00897552710241532	0.0552997969916399	0.0748653271311882	0.0577454882590834	0.0547243402228297	0.0245847919563932	0.0416326987323966	0.0811953515881008	0.0363816557170032	"SM B-cells"	"CONTROL"
"Immunodeficiency7827699"	0.0233247173427582	0.138058061226284	0.0483286736649611	0.0434228341333896	0.0461131332313481	0.0241159817833342	0.0382004888255877	0.137345923229766	0.0894744245749152	0.027360165989696	0.0478539150006154	0.0253028784441983	0.0681102846793621	0.0560830651826063	0.019368395139878	0.0316329939688066	0.0928768616693921	0.0430272019131016	"USM B-cells"	"CONTROL"
